Year;Ages -17;Ages 18-19;Ages 20-24;Ages 25-44;Ages 45-64;Ages 65-;Total;Men;Women
1980;15000;128000;435000;1997000;1264000;448000;4287000;2574000;1713000
1981;17000;134000;435000;2033000;1293000;496000;4408000;2638000;1770000
1982;18000;143000;435000;2065000;1322000;547000;4530000;2702000;1828000
1983;18000;149000;431000;2057000;1340000;601000;4596000;2712000;1884000
1984;18000;154000;456000;2096000;1353000;556000;4633000;2704000;1929000
1985;14000;156000;477000;2123000;1378000;625000;4773000;2777000;1996000
1986;10000;151000;496000;2141000;1396000;641000;4835000;2786000;2049000
1987;8000;143000;511000;2157000;1429000;674000;4922000;2819000;2103000
1988;7000;140000;515000;2153000;1485000;708000;5008000;2851000;2157000
1989;7000;142000;504000;2157000;1541000;737000;5088000;2878000;2210000
1990;4000;120000;488000;2156000;1601000;773000;5142000;2895000;2247000
1991;4000;113000;472000;2150000;1656000;798000;5193000;2911000;2282000
1992;3000;114000;452000;2142000;1712000;825000;5248000;2929000;2319000
1993;3000;111000;439000;2127000;1766000;856000;5302000;2947000;2355000
1994;2000;98000;433000;2113000;1821000;874000;5341000;2955000;2387000
1995;2000;89000;422000;2110000;1861000;903000;5387000;2974000;2413000
1996;2000;90000;405000;2108000;1897000;934000;5436000;2991000;2445000
1997;1000;78000;385000;2100000;1938000;962000;5464000;2995000;2468000
1998;2000;86000;367000;2089000;1968000;977000;5489000;2996000;2493000
2000;1000;76000;340000;2074000;2025000;1019000;5535000;2999000;2536000
2001;1000;74000;337000;2065000;2065000;1034000;5576000;3014000;2562000
2002;1000;76000;336000;2054000;2093000;1060000;5620000;3030000;2590000
2003;1000;81000;339000;2046000;2115000;1085000;5667000;3044000;2622000
2004;1000;88000;343000;2038000;2133000;1099000;5702000;3054000;2648000
2005;1000;90000;345000;2034000;2149000;1116000;5735000;3065000;2670000
2006;1000;89000;349000;2023000;2166000;1154000;5782000;3083000;2699000
2007;1000;93000;355000;2012000;2168000;1208000;5837000;3107000;2730000
2008;1000;99000;369000;1995000;2171000;1267000;5902000;3136000;2766000
2009;109000;134000;391000;1977000;2179000;1333000;6123000;3255000;2869000
2010;88000;138000;410000;1955000;2182000;1399000;6172000;3276000;2895000
2011;69000;134000;429000;1934000;2183000;1464000;6213000;3293000;2920000
2012;54000;127000;447000;1919000;2184000;1525000;6255000;3308000;2947000
2013;54000;110000;436000;1914000;2180000;1577000;6272000;3310000;2962000
2014;57000;103000;441000;1926000;2176000;1622000;6325000;3335000;2988000
2015;62000;101000;431000;1948000;2178000;1659000;6379000;3364000;3015000
2016;68000;99000;417000;1972000;2190000;1702000;6448000;3400000;3049000
2017;75000;101000;400000;1997000;2202000;1746000;6521000;3438000;3082000
2018;81000;105000;386000;2021000;2211000;1787000;6591000;3475000;3116000
2019;90000;110000;376000;2044000;2224000;1825000;6669000;3515000;3154000
2020;97000;114000;372000;2056000;2230000;1862000;6731000;3542000;3189000
2021;109000;125000;378000;2074000;2232000;1899000;6817000;3582000;3234000
