Year;1;2;3;4;5;6;Total (With Blocking Time);7;8;9;10;Other;Total (Without Blocking Time);Total number of revoked Driving licences
1990;10408;647;1657;19394;1435;691;30055;;;;;;;30055
1991;10542;977;1614;17806;1409;554;28705;;;;;;;28705
1992;10193;822;1297;17149;1063;656;27976;;;;;;;27976
1993;9731;783;985;16015;914;723;26637;885;947;1;310;15;2158;28795
1994;8244;739;967;19540;957;647;28816;947;1211;1;296;19;2474;31290
1995;7628;656;814;15511;964;414;24202;1016;1534;2;302;8;2862;27064
1996;6603;484;789;14199;1122;477;22067;1630;1928;2;852;9;4421;26488
1997;6135;404;673;12816;979;433;20010;2177;1855;1;2126;3;6162;26172
1998;5355;280;702;12051;897;496;18284;1972;2160;2;1156;6;5296;23580
1999;4941;225;593;12108;784;436;17820;1886;2435;0;8;8;4337;22157
2000;5518;325;503;15612;680;462;21657;1633;2525;;;13;4171;25828
2001;6086;229;592;16802;710;563;23229;1720;2315;;;7;4042;27271
2002;6227;327;552;16741;729;526;23600;1881;2237;;;5;4123;27723
2003;6542;447;658;19625;918;629;27034;2497;2341;;;13;4851;31885
2004;6904;380;869;20471;791;682;28206;2426;2868;;;7;5301;33507
2005;6889;384;888;19309;727;696;27240;2646;3102;;;6;5754;32994
2006;7093;331;736;16414;755;633;24372;2514;2882;;;12;5408;29780
2007;7294;348;820;17675;757;679;25770;2856;3028;;;10;5894;31664
2008;6996;327;948;18051;672;621;25873;2799;2949;;;7;5755;31628
2009;7761;374;968;17796;771;494;26297;3351;3136;;;12;6499;32796
2010;4147;20;328;11143;73;27;15408;2044;1106;;;7;3157;18565
2011;7994;124;418;13361;481;209;20789;2698;3102;;;7;5807;26596
2012;6850;172;407;15525;729;235;22431;3924;3263;;;4;7191;29622
2013;7396;404;767;21721;1786;459;30780;4473;4381;1;;4;8859;39639
2014;6438;322;748;18240;1694;452;26264;4014;4075;;;9;8088;34352
2015;6609;283;1004;18759;1436;329;26432;4318;3976;6;;7;8294;34726
2016;5389;278;960;16823;1513;170;23344;4511;3660;3;;9;8183;31527
2017;5694;209;707;17240;1620;150;23961;5019;3739;8;;9;8775;32736
2018;5746;185;545;18231;1662;182;24948;5487;4161;7;;14;9669;34617
2019;6477;158;623;19903;1337;144;26973;5520;4164;22;;13;9719;36692
2020;6317;154;1020;26050;1156;166;32963;5176;3466;21;;13;8640;41603
2021;5969;143;1555;25121;983;117;31657;5609;4302;176;;21;10041;41698
